label,statement,target,clean_text
barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.,barely-true,milwaukee mayor tom barrett held line property taxes
true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,true,im member house representatives raised campaign funds last election small contributions less
true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",true,unlike gridlock washington percent bills passed general assembly bipartisan support
false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,false,josh mandel lying record rating ohios investment fund improved
half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",half-true,rick scott took family leased land drilling trying hide
half-true,On how money from a possible lease of the Ohio Turnpike would be used,half-true,money possible lease ohio turnpike would used
mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",mostly-true,beginning last decade america budget surplus billion time took office oneyear deficit trillion projected deficits trillion next decade
half-true,"The president has had 1,540 of his nominations confirmed, only four defeated.",half-true,president nominations confirmed four defeated
true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,true,us taxpayers forced fund feisal abdul raufs trip middle east
barely-true,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",barely-true,milwaukee county taxpayers paid settle lawsuit decision sheriff david clarke jr use untrained corrections officers rather deputies patrol lakefront
mostly-true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,mostly-true,justice department policies fbi director james comey discussing details federal investigation close election
true,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",true,democratic presidents considerably effective creating privatesector jobs
true,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",true,joe biden voted first gulf war opposed surge wanted partition iraq
barely-true,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,barely-true,says rush limbaugh made clear hed rather see country fail president barack obama succeed
half-true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,half-true,one percent american people make percent income america wasnt way george bush became president
half-true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",half-true,military recruiting went harvard every single day throughout time kagan
mostly-true,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",mostly-true,says rick perrys plan texas cut funding public schools
